gene,drift_velocity,abs_drift
TRGV5,-0.0022483347,0.0022483347
PILRB,0.0022406892,0.0022406892
DCN,0.0022272933,0.0022272933
CCR8,-0.0022163193,0.0022163193
LINC00996,-0.0022116841,0.0022116841
S1PR5,0.0022030352,0.0022030352
PDLIM4,-0.0021935578,0.0021935578
MAFB,-0.002186167,0.002186167
LDB2,0.002162514,0.002162514
PIP,0.0021600293,0.0021600293
TRBV12-4,-0.00215936,0.00215936
PLK1,-0.0021567799,0.0021567799
SELP,-0.0021486883,0.0021486883
KRT15,0.0021424606,0.0021424606
TRAC,0.0021386456,0.0021386456
ADGRG3,-0.0021382873,0.0021382873
FXYD3,0.0021016526,0.0021016526
TRBV7-7,-0.0020667699,0.0020667699
IGHV3-23,-0.0020490102,0.0020490102
KLRC3,-0.0020270613,0.0020270613
ZDHHC14,-0.0020237959,0.0020237959
LHFPL6,0.0020200526,0.0020200526
FAM13A,-0.0020132994,0.0020132994
TRDV3,0.0020099862,0.0020099862
HBA1,0.0019982473,0.0019982473
SPRY2,0.0019816025,0.0019816025
ZFYVE16,-0.0019741002,0.0019741002
CSF2,0.0019607046,0.0019607046
ADAM12,-0.001940221,0.001940221
FBLN7,0.0019360001,0.0019360001
GNG4,-0.001914577,0.001914577
LUM,0.0019024555,0.0019024555
NDRG2,0.0018885819,0.0018885819
FABP4,-0.0018300463,0.0018300463
HSPA6,-0.0018275932,0.0018275932
CALML5,0.0018270836,0.0018270836
UBN2,-0.001823675,0.001823675
CCR4,-0.0018234199,0.0018234199
MRC1,-0.0018090209,0.0018090209
BGN,0.0018003562,0.0018003562
RIPOR2,0.0017970591,0.0017970591
CPA5,-0.0017968838,0.0017968838
TRAV36DV7,-0.0017920895,0.0017920895
DYNC2H1,-0.0017788691,0.0017788691
NFIA,0.0017754604,0.0017754604
CRABP2,0.0017661107,0.0017661107
KCNQ1OT1,-0.001766063,0.001766063
TUBA1A,0.0017645339,0.0017645339
ZBTB37,-0.0017519188,0.0017519188
S100A7,0.001747602,0.001747602
RPL39L,0.0017413424,0.0017413424
MNDA,-0.0017295874,0.0017295874
SELENOP,-0.0017176733,0.0017176733
IGHV3-21,-0.0017171156,0.0017171156
SLFN11,-0.0017153637,0.0017153637
CD177,-0.0017144079,0.0017144079
FKTN,-0.0017130701,0.0017130701
IGLV2-23,0.0017073678,0.0017073678
SPI1,-0.001704883,0.001704883
TACSTD2,0.0017023664,0.0017023664
PPP1R12B,-0.001694036,0.001694036
FDCSP,-0.0016861357,0.0016861357
SLPI,-0.0016671971,0.0016671971
SH3PXD2A,-0.001664346,0.001664346
KCTD12,-0.0016597904,0.0016597904
DAB2,-0.0016580225,0.0016580225
TRAV38-2DV8,-0.0016501858,0.0016501858
TENT5C,-0.0016373796,0.0016373796
SYNE1,-0.0016209577,0.0016209577
TRBV4-2,0.0016042809,0.0016042809
TRAV22,-0.0015754988,0.0015754988
IL23R,-0.00156771,0.00156771
TRAV10,-0.001564604,0.001564604
TRAV6,-0.001556194,0.001556194
FANK1,-0.001554171,0.001554171
PTK2,0.0015511288,0.0015511288
IGLV3-21,0.0015496793,0.0015496793
GFPT2,-0.0015359811,0.0015359811
TRAV21,-0.0015331459,0.0015331459
TRAV26-1,0.0015307567,0.0015307567
NOL3,-0.0015298169,0.0015298169
CXXC5,0.0015202919,0.0015202919
IGKV1D-16,0.0015201804,0.0015201804
CTNND1,0.0015190655,0.0015190655
CRYAB,0.0015182849,0.0015182849
RAMP1,-0.0015163099,0.0015163099
MIR3142HG,-0.0015119455,0.0015119455
IL11RA,-0.0015098909,0.0015098909
VPS9D1,-0.001505192,0.001505192
S100A13,0.0015048417,0.0015048417
TRAV29DV5,0.0015007481,0.0015007481
GPR25,-0.0014948547,0.0014948547
NXPH4,0.0014903471,0.0014903471
IGLV3-19,-0.0014851226,0.0014851226
TM4SF1,0.0014730332,0.0014730332
CRABP1,0.0014724119,0.0014724119
TRAV16,-0.0014702935,0.0014702935
CDHR1,0.0014667894,0.0014667894
SNED1,-0.001464193,0.001464193
PLXND1,-0.0014625206,0.0014625206
TRAV38-1,0.001461963,0.001461963
GSTM3,0.0014612145,0.0014612145
PCSK1N,-0.001460896,0.001460896
TRBV5-4,0.0014558149,0.0014558149
TFF1,-0.0014474366,0.0014474366
SPARCL1,0.0014470543,0.0014470543
IFI30,-0.001443566,0.001443566
MYOF,-0.0014259496,0.0014259496
BHLHE40-AS1,-0.0014240543,0.0014240543
COLGALT2,-0.0014203588,0.0014203588
TRAV13-1,-0.0014153096,0.0014153096
SLC7A7,-0.001405689,0.001405689
LRRC32,-0.0014031087,0.0014031087
IL10,-0.0013989992,0.0013989992
MDK,-0.001391274,0.001391274
TPM2,0.0013880089,0.0013880089
TRBV13,-0.001379774,0.001379774
DHRS2,-0.0013797422,0.0013797422
