gene,drift_velocity,abs_drift
ACOX2,8.196069e-06,8.196069e-06
DGAT2,-8.159804e-06,8.159804e-06
GJB5,8.032873e-06,8.032873e-06
FAM177B,7.815278e-06,7.815278e-06
ADORA1,7.470753e-06,7.470753e-06
LINC00997,-7.4526206e-06,7.4526206e-06
DLL4,7.4526206e-06,7.4526206e-06
MAP3K15,-7.4526206e-06,7.4526206e-06
MYH3,7.4526206e-06,7.4526206e-06
JADE3,-7.4163545e-06,7.4163545e-06
TNFAIP8L3,7.4163545e-06,7.4163545e-06
CCDC24,7.343823e-06,7.343823e-06
SLCO4A1-AS1,-7.1080954e-06,7.1080954e-06
CARD14,-6.8905006e-06,6.8905006e-06
MMP10,6.8905006e-06,6.8905006e-06
TEAD4,-6.7998362e-06,6.7998362e-06
KIZ-AS1,-6.6003745e-06,6.6003745e-06
SNCB,6.5822414e-06,6.5822414e-06
DYDC2,-6.5097097e-06,6.5097097e-06
FGF1,-6.455311e-06,6.455311e-06
LINC00520,-6.310248e-06,6.310248e-06
UNC13A,-6.292115e-06,6.292115e-06
TSC22D1-AS1,6.237716e-06,6.237716e-06
PTCHD1-AS,6.147052e-06,6.147052e-06
FAM228A,6.0201214e-06,6.0201214e-06
CCL17,5.9657227e-06,5.9657227e-06
TNFSF15,-5.911324e-06,5.911324e-06
PPP1R14C,-5.8569253e-06,5.8569253e-06
PHGR1,5.639331e-06,5.639331e-06
IGHV1-12,5.439869e-06,5.439869e-06
PARD3B,5.403603e-06,5.403603e-06
MARK1,5.3673375e-06,5.3673375e-06
AIFM3,-5.3310714e-06,5.3310714e-06
CHAD,5.312939e-06,5.312939e-06
SYNGR4,-5.2948058e-06,5.2948058e-06
HTR1F,5.004679e-06,5.004679e-06
LRRC8E,4.9865466e-06,4.9865466e-06
SMPDL3B,-4.8777492e-06,4.8777492e-06
TBC1D12,4.8777492e-06,4.8777492e-06
CACNG4,4.841483e-06,4.841483e-06
TMC1,-4.4606927e-06,4.4606927e-06
ASB9,4.188699e-06,4.188699e-06
C11orf96,4.061769e-06,4.061769e-06
SPAG17,-3.862307e-06,3.862307e-06
NKPD1,-3.7535096e-06,3.7535096e-06
LINC02207,-3.7353766e-06,3.7353766e-06
DMRT2,-3.7172438e-06,3.7172438e-06
SLC10A4,-3.699111e-06,3.699111e-06
TDRD6,-3.662845e-06,3.662845e-06
LINC00327,3.662845e-06,3.662845e-06
GGN,-3.5903136e-06,3.5903136e-06
PTPRN,3.1913899e-06,3.1913899e-06
IGHV7-27,-3.1369912e-06,3.1369912e-06
TRAV38-1,-3.0825925e-06,3.0825925e-06
KLF1,-2.9375292e-06,2.9375292e-06
CPB2-AS1,2.8287318e-06,2.8287318e-06
HSPB2,-2.7924661e-06,2.7924661e-06
LINC00487,-2.6655357e-06,2.6655357e-06
GRIA2,-2.466074e-06,2.466074e-06
TMEM121B,2.447941e-06,2.447941e-06
PDE5A,-2.3935422e-06,2.3935422e-06
SCARA5,-2.284745e-06,2.284745e-06
SCN4A,-2.2122133e-06,2.2122133e-06
TSPAN6,-2.1759477e-06,2.1759477e-06
FREM1,-2.1759477e-06,2.1759477e-06
HOXD8,-1.7588909e-06,1.7588909e-06
FLRT3,1.7407581e-06,1.7407581e-06
TNMD,-1.5412962e-06,1.5412962e-06
SRGAP1,1.2874357e-06,1.2874357e-06
LIN7A,-1.0335751e-06,1.0335751e-06
ITGB1-DT,-8.1598034e-07,8.1598034e-07
OSR1,7.6158165e-07,7.6158165e-07
HRC,7.0718295e-07,7.0718295e-07
ANGPTL4,5.9838555e-07,5.9838555e-07
GDPD2,-3.6265794e-07,3.6265794e-07
GJA5,2.5386055e-07,2.5386055e-07
